BLOCKGROUP,trip_id
480291101001,3870
480291101002,3869
480291101003,4456
480291103001,1977
480291103002,1250
480291103003,1751
480291105001,2204
480291106001,2290
480291106002,2771
480291106003,2638
480291107001,2619
480291108001,1660
480291108002,1232
480291108003,655
480291109001,2295
480291110001,539
480291110002,782
480291110003,602
480291201001,921
480291203001,484
480291203002,453
480291203003,444
480291203004,466
480291203005,326
480291203006,335
480291203007,267
480291203008,251
480291204001,126
480291204002,225
480291204003,452
480291204004,422
480291204005,453
480291204006,30
480291205011,168
480291205012,256
480291205013,191
480291205014,92
480291205015,191
480291205016,256
480291205017,256
480291205021,426
480291205022,130
480291205023,746
480291205024,195
480291205025,188
480291205026,130
480291206001,256
480291206002,256
480291206003,299
480291206004,393
480291206005,300
480291206006,256
480291206007,256
480291207011,281
480291207012,206
480291207013,296
480291207014,296
480291207015,296
480291207021,267
480291207022,246
480291207023,267
480291208001,195
480291208002,195
480291208003,161
480291208004,176
480291208005,155
480291208006,205
480291208007,239
480291209011,327
480291209012,253
480291209021,105
480291209022,276
480291209023,246
480291209024,246
480291210001,265
480291210002,262
480291210003,218
480291210004,178
480291210005,178
480291210006,178
480291211081,30
480291211082,115
480291211083,141
480291211084,115
480291211085,60
480291211102,60
480291211114,246
480291211121,334
480291211122,60
480291211151,90
480291211152,90
480291211153,30
480291211161,90
480291211162,90
480291211163,90
480291211164,90
480291211171,121
480291211172,121
480291211173,90
480291211181,225
480291211182,90
480291211183,90
480291211191,60
480291211192,60
480291211193,81
480291211201,105
480291211202,60
480291211212,60
480291211221,60
480291211222,60
480291211223,60
480291212031,112
480291212032,650
480291212033,746
480291212034,307
480291212041,390
480291212042,215
480291212043,164
480291212044,116
480291212045,274
480291212051,246
480291212052,334
480291212063,78
480291212065,156
480291212066,246
480291213001,650
480291213002,650
480291213003,650
480291213004,287
480291214021,351
480291214022,217
480291214031,296
480291214032,327
480291214033,296
480291214041,235
480291214042,162
480291214043,226
480291215011,52
480291215012,53
480291215013,53
480291215014,52
480291215041,52
480291215042,52
480291215043,52
480291215044,52
480291215051,53
480291215052,53
480291215053,53
480291215061,154
480291215062,102
480291215063,102
480291215064,52
480291215071,154
480291215072,134
480291215073,154
480291215074,154
480291215081,134
480291215082,134
480291215083,102
480291216042,53
480291216043,53
480291216044,53
480291216051,53
480291216052,53
480291218031,52
480291218032,52
480291219041,70
480291219052,166
480291219061,70
480291219062,165
480291219072,96
480291302001,917
480291302002,797
