StopNumber,Location,StreetNumber,Street,City,State,Zip
79877,ST. MARY'S BETWEEN CONVENT & MART,603,N St Mary's St,San Antonio,TX,78205
79977,ST. MARY'S & PECAN,152,E Pecan St,San Antonio,TX,78205
89377,ST. MARY'S BETWEEN TRAVIS & HOUSTON,175,E Houston St,San Antonio,TX,78205
89867,ST. MARY'S & COMMERCE,106,S St Mary's St,San Antonio,TX,78205
89839,COMMERCE & SOLEDAD,102,Main Plz,San Antonio,TX,78205
88779,COMMERCE & FLORES,211,W Commerce St,San Antonio,TX,78205
88719,COMMERCE & LAREDO,332,W Commerce St,San Antonio,TX,78205
87799,COMMERCE & SANTA ROSA,104,S Santa Rosa,San Antonio,TX,78207
87639,COMMERCE & SAN SABA,514,W Commerce St,San Antonio,TX,78207
87619,W. COMMERCE & PECOS,,US 87,San Antonio,TX,78274
86669,W. COMMERCE & LEONA,803,W Commerce St,San Antonio,TX,78207
86639,W. COMMERCE & FRIO,821,W Commerce St,San Antonio,TX,78207
84569,W. COMMERCE & RICHTER,106,N Richter St,San Antonio,TX,78207
84439,W. COMMERCE & COLORADO,1430,W Commerce St,San Antonio,TX,78207
83449,W. COMMERCE & LAS MORAS,1726,W Commerce St,San Antonio,TX,78207
83419,W. COMMERCE & SAN JACINTO,1823,W Commerce St,San Antonio,TX,78207
82349,W. COMMERCE & TRINITY,2020,W Commerce St,San Antonio,TX,78207
81389,W. COMMERCE & SABINAS,2223,W Commerce St,San Antonio,TX,78207
81329,W. COMMERCE & NAVIDAD,2423,W Commerce St,San Antonio,TX,78207
89269,W. COMMERCE & CALAVERAS,2626,W Commerce St,San Antonio,TX,78207
88289,W. COMMERCE & N. ZARZAMORA,2902,W Commerce St,San Antonio,TX,78207
88259,W. COMMERCE & MURRAY,2929,W Commerce St,San Antonio,TX,78207
87169,W. COMMERCE & HAMILTON,3131,W Commerce St,San Antonio,TX,78207
76979,W. COMMERCE & MINTER,3335,W Commerce St,San Antonio,TX,78207
76949,W. COMMERCE & N.W. 19TH,3431,W Commerce St,San Antonio,TX,78207
75979,W. COMMERCE & N.W. 21ST,3623,W Commerce St,San Antonio,TX,78207
74899,W. COMMERCE & N.W. 23RD,3831,W Commerce St,San Antonio,TX,78207
74859,W. COMMERCE & N.W. 24TH,4021,W Commerce St,San Antonio,TX,78207
73899,W. COMMERCE & N.W. 26TH,4123,W Commerce St,San Antonio,TX,78207
73749,W. COMMERCE IN FRONT OF 4303,4311,W Commerce St,San Antonio,TX,78237
72779,W. COMMERCE IN FRONT OF 4431,4431,W Commerce St,San Antonio,TX,78237
71699,W. COMMERCE & KNOKE,4545,W Commerce St,San Antonio,TX,78237
71639,W. COMMERCE & GEN. MCMULLEN,4637,W Commerce St,San Antonio,TX,78237
79579,W. COMMERCE IN FRONT OF 4711,4734,W Commerce St,San Antonio,TX,78237
79639,W. COMMERCE OPPOSITE SAN DARIO,4951,W Commerce St,San Antonio,TX,78237
78599,W. COMMERCE & SAN FELIPE (OFFSET),4965,W Commerce St,San Antonio,TX,78237
78519,W. COMMERCE & SAN IGNACIO,5127,W Commerce St,San Antonio,TX,78237
77459,W. COMMERCE & ALLSUP,5241,W Commerce St,San Antonio,TX,78237
76479,W. COMMERCE & N.W. 34TH,5403,W Commerce St,San Antonio,TX,78237
76349,W. COMMERCE & PARK PLAZA,5422,W Commerce St,San Antonio,TX,78237
83446,WURZBACH OPPOSITE CTRC,8041,Floyd Curl Dr,San Antonio,TX,78229
75349,W. COMMERCE & 36TH,5637,W Commerce St,San Antonio,TX,78237
74229,W. COMMERCE & E. ENT. TO MONTERREY,5906,W Commerce St,San Antonio,TX,78237
73149,W. COMMERCE & N.W. 39TH,6055,W Commerce St,San Antonio,TX,78237
72179,W. COMMERCE BETWEEN 40TH & HORTENCIA,103,NW 40th St,San Antonio,TX,78237
