OBJECTID,BLOCKGROUP,SUM_POPULA,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength
1,480291101001,955,19517058.8888747,23279.12856787,19517058.8886719,23279.1285678737
2,480291101002,694,7319464.09907477,14609.29786971,7319464.1015625,14609.2978697093
3,480291101003,1730,11332054.0101472,14546.23228876,11332054.0703125,14546.2322887552
4,480291103001,1041,4292227.77014213,9662.07483564,4292227.78320312,9662.07483563567
5,480291103002,797,4074138.80694005,10523.20496983,4074138.8046875,10523.20496983
6,480291103003,704,8312682.99574381,15680.97866424,8312683.0078125,15680.9786642448
7,480291105001,2238,13666529.5295312,16048.49362687,13666529.4863281,16048.4936268681
8,480291106001,1374,7933404.15808628,14861.47050991,7933404.1640625,14861.4705099116
9,480291106002,1330,7741606.59366195,13191.25965256,7741606.625,13191.2596525608
10,480291106003,4849,5498780.58198504,12157.28241235,5498780.59960938,12157.2824123495
11,480291107001,1398,10583704.5895675,16998.77689438,10583704.578125,16998.7768943778
12,480291108001,763,5988345.96080292,12016.38760889,5988345.99023438,12016.3876088906
13,480291108002,617,5355412.75935204,9238.3023827,5355412.79492188,9238.30238270356
14,480291108003,585,2485040.76141604,6568.0779829,2485040.76367188,6568.07798289671
15,480291109001,549,13517623.8017172,17832.94612297,13517623.7773438,17832.9461229729
16,480291110001,803,3077698.21217422,7070.49573008,3077698.22460938,7070.49573007874
17,480291110002,601,7765516.10258453,18236.25975977,7765516.12890625,18236.2597597732
18,480291110003,721,5802777.71059103,13817.9013597,5802777.68359375,13817.9013596968
19,480291201001,7129,145559608.501193,77492.41386413,145559609.289062,77492.4138641339
20,480291203001,1322,9375147.57159172,12792.81948606,9375147.65429688,12792.8194860582
21,480291203002,622,4796155.87028372,9220.48292507,4796155.84960938,9220.48292507248
22,480291203003,912,4581759.14161936,11212.40029566,4581759.11328125,11212.4002956613
23,480291203004,1048,9493725.5817168,13111.83581743,9493725.6015625,13111.8358174306
24,480291203005,863,6921065.20037213,14211.46130861,6921065.14648438,14211.4613086137
25,480291203006,649,4351272.33556048,10551.83154131,4351272.33984375,10551.8315413103
26,480291203007,806,6870272.789397,15535.33730774,6870272.75390625,15535.3373077369
27,480291203008,809,4937411.20832924,11336.58586291,4937411.24804688,11336.5858629121
