OBJECTID,TRACT,SUM_POPULATION,ShapeSTArea,ShapeSTLength
1,48029110100,3379,38168577.7128906,26074.749275312
2,48029110300,2542,16679049.8925781,22363.9902014135
3,48029110500,2238,13666528.9238281,16048.4930688561
4,48029110600,7553,21173790.9238281,20426.4126283116
5,48029110700,1398,10583705.4199219,16998.7761477874
6,48029110800,1965,13828799.2617188,14455.6386422277
7,48029110900,549,13517624.0488281,17832.9446797338
8,48029111000,2125,16645992.1914062,22653.3187893573
9,48029120100,7129,145559609.919922,77492.4120417234
10,48029120300,7031,51326809.9375,32124.6447693836
11,48029120400,5733,50588998.625,31796.7046509079
12,48029120501,8151,69200533.9804688,50576.9878905848
13,48029120502,5155,35641324.6113281,33300.3872098111
14,48029120600,5970,35387902.3632812,25507.9311966485
15,48029120701,5326,36688562.4882812,27529.4081778039
16,48029120702,4477,35288830.2675781,25880.0041106411
17,48029120800,6334,52011496.5097656,27868.6193622564
18,48029120901,2077,20869103.0664062,23352.6435926937
19,48029120902,6123,50576819.5,35402.6931782984
20,48029121000,7095,71923622.4453125,39184.6411438959
21,48029121108,7109,44950274.4140625,27387.7874825088
22,48029121110,4895,48891855.3535156,31377.6498089546
23,48029121111,6591,40806376.1191406,33037.7171205688
24,48029121112,3771,55255307.4257812,36849.861051998
25,48029121115,5141,26782417.9804688,22441.8934676764
26,48029121116,4839,34387732.8027344,23677.8143183133
27,48029121117,4448,26414679.2910156,23731.8918889144
28,48029121118,5620,50995402.125,47732.9793106145
29,48029121119,5362,47030202.8515625,34461.5973605533
30,48029121120,5103,48659575.0859375,28699.6854608857
31,48029121121,3001,26892728.5253906,29124.5998580366
32,48029121122,5390,33405326.3847656,25127.8060214565
33,48029121203,3996,80509412.2402344,45999.2180609643
34,48029121204,7747,47270065.5722656,28558.8099110515
35,48029121205,3496,32019031.7734375,24848.764005438
36,48029121206,7267,44920825.1757812,28008.8795159978
37,48029121300,6072,54958146.3632812,30207.079179616
38,48029121402,5584,49421201.9726562,31968.5841484954
39,48029121403,4957,47708050.9648438,32877.2604313394
40,48029121404,4945,72771054.5761719,38228.7145795125
41,48029121501,7831,63076370.7402344,34338.9278688307
42,48029121504,6923,41900306.3125,32689.4255031935
43,48029121505,4571,35818629.234375,26058.8693067443
44,48029121506,5742,27948701.1699219,26378.6516796276
45,48029121507,5036,28732387.5097656,23512.2725722418
46,48029121508,5064,24030924.3808594,21127.8197472309
47,48029121601,4754,40251203.28125,32673.1375079449
48,48029121604,7247,52618011.7441406,28624.9595977881
49,48029121605,1921,31518249.5703125,26949.4843692405
50,48029121606,4860,30781410.1445312,25722.9011264986
51,48029121701,3771,35716748.6230469,32976.850400932
52,48029121702,6960,66372954.5039062,35796.9485797582
53,48029121802,8176,94587750.3964844,38971.1427701462
54,48029121803,4549,35552449.7773438,24318.1300683551
55,48029121804,6353,25964966.7480469,21201.0913491402
56,48029121808,3436,17588285.015625,20430.6204355845
57,48029121809,4982,21171986.7890625,18975.3227774744
58,48029121810,4387,22619816.4238281,24664.2432742107
59,48029121811,4476,28545042.3671875,22193.2421233693
60,48029121812,6028,37484427.9453125,25998.3120744864
61,48029121813,1637,20448620.5273438,22283.524525029
62,48029121903,4765,89364537.6289062,49007.3513421557
63,48029121904,3564,20696206.6503906,27641.7556862069
64,48029121905,5776,84887128.1425781,47444.9086589962
65,48029121906,5561,69335817.4511719,38841.1696510483
66,48029121907,9329,436659721.845703,129154.01951525
67,48029121908,2474,460039733.068359,131467.184544567
68,48029121909,4510,133791273.90625,48986.5891908939
69,48029121910,4736,309249255.554688,86045.8568552873
70,48029130200,1755,10599476.5742188,13471.4719270289
71,48029130300,3303,13015124.2988281,14638.9869834306
72,48029130401,4107,17118126.9121094,17615.0751928662
73,48029130402,3972,27856452.8789062,25279.221717416
74,48029130500,4146,24582062.3496094,20041.4942337694
