block_group,B01001_001E,B01001_002E,B01001_026E,B01001_001E_WA,B01001_002E_WA,B01001_026E_WA,B01001_001E_NWA,B01001_002E_NWA,B01001_026E_NWA
480291805031,659.0,417.0,242.0,454.0,279.0,175.0,205.0,138.0,67.0
480291805032,1942.0,806.0,1136.0,1319.0,553.0,766.0,623.0,253.0,370.0
480291704013,1676.0,663.0,1013.0,838.0,327.0,511.0,838.0,336.0,502.0
480291704012,730.0,384.0,346.0,306.0,123.0,183.0,424.0,261.0,163.0
480291914061,2612.0,1229.0,1383.0,1546.0,701.0,845.0,1066.0,528.0,538.0
480291914092,2824.0,1565.0,1259.0,2095.0,1167.0,928.0,729.0,398.0,331.0
480291212042,1666.0,860.0,806.0,1277.0,662.0,615.0,389.0,198.0,191.0
480291215081,1465.0,743.0,722.0,797.0,485.0,312.0,668.0,258.0,410.0
480291914051,2767.0,1451.0,1316.0,1880.0,911.0,969.0,887.0,540.0,347.0
480291914052,2152.0,1031.0,1121.0,1454.0,669.0,785.0,698.0,362.0,336.0
480291914053,1753.0,771.0,982.0,904.0,340.0,564.0,849.0,431.0,418.0
480291914055,929.0,414.0,515.0,481.0,231.0,250.0,448.0,183.0,265.0
480291709001,1623.0,633.0,990.0,805.0,306.0,499.0,818.0,327.0,491.0
480291709003,592.0,233.0,359.0,398.0,184.0,214.0,194.0,49.0,145.0
480291610002,2125.0,950.0,1175.0,1141.0,515.0,626.0,984.0,435.0,549.0
480291610001,2034.0,979.0,1055.0,1244.0,580.0,664.0,790.0,399.0,391.0
480291615015,1647.0,1005.0,642.0,831.0,474.0,357.0,816.0,531.0,285.0
480291615011,3279.0,1541.0,1738.0,1913.0,998.0,915.0,1366.0,543.0,823.0
480291615013,1116.0,659.0,457.0,641.0,382.0,259.0,475.0,277.0,198.0
480291711001,1924.0,1050.0,874.0,1221.0,735.0,486.0,703.0,315.0,388.0
480291620011,2310.0,1081.0,1229.0,1351.0,564.0,787.0,959.0,517.0,442.0
480291701022,1074.0,538.0,536.0,726.0,346.0,380.0,348.0,192.0,156.0
480291701021,962.0,346.0,616.0,650.0,278.0,372.0,312.0,68.0,244.0
480291807022,1236.0,598.0,638.0,896.0,456.0,440.0,340.0,142.0,198.0
480291807023,382.0,222.0,160.0,301.0,187.0,114.0,81.0,35.0,46.0
480291807025,596.0,294.0,302.0,286.0,164.0,122.0,310.0,130.0,180.0
480291809012,1325.0,588.0,737.0,848.0,388.0,460.0,477.0,200.0,277.0
480291809015,833.0,367.0,466.0,554.0,223.0,331.0,279.0,144.0,135.0
480291106003,3071.0,2757.0,314.0,2626.0,2567.0,59.0,445.0,190.0,255.0
480291108002,577.0,308.0,269.0,322.0,178.0,144.0,255.0,130.0,125.0
480291108001,729.0,410.0,319.0,536.0,311.0,225.0,193.0,99.0,94.0
480291208004,858.0,467.0,391.0,454.0,278.0,176.0,404.0,189.0,215.0
