block_group,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_006E,B03002_002E_O,B03002_012E
480291805031,659.0,71.0,71.0,0.0,0.0,0.0,588.0
480291805032,1942.0,252.0,193.0,59.0,0.0,0.0,1690.0
480291704013,1676.0,441.0,272.0,169.0,0.0,0.0,1235.0
480291704012,730.0,47.0,15.0,32.0,0.0,0.0,683.0
480291914061,2612.0,1652.0,1451.0,21.0,91.0,89.0,960.0
480291914092,2824.0,1011.0,802.0,149.0,60.0,0.0,1813.0
480291212042,1666.0,1162.0,789.0,271.0,0.0,102.0,504.0
480291215081,1465.0,940.0,343.0,542.0,0.0,55.0,525.0
480291914051,2767.0,807.0,557.0,152.0,62.0,36.0,1960.0
480291914052,2152.0,1444.0,1318.0,14.0,51.0,61.0,708.0
480291914053,1753.0,1377.0,1350.0,13.0,14.0,0.0,376.0
480291914055,929.0,594.0,514.0,0.0,80.0,0.0,335.0
480291709001,1623.0,67.0,67.0,0.0,0.0,0.0,1556.0
480291709003,592.0,9.0,9.0,0.0,0.0,0.0,583.0
480291610002,2125.0,107.0,106.0,1.0,0.0,0.0,2018.0
480291610001,2034.0,332.0,324.0,8.0,0.0,0.0,1702.0
480291615015,1647.0,111.0,79.0,32.0,0.0,0.0,1536.0
480291615011,3279.0,360.0,329.0,0.0,0.0,31.0,2919.0
480291615013,1116.0,53.0,28.0,13.0,12.0,0.0,1063.0
480291711001,1924.0,68.0,29.0,39.0,0.0,0.0,1856.0
480291620011,2310.0,622.0,480.0,54.0,0.0,88.0,1688.0
480291701022,1074.0,23.0,23.0,0.0,0.0,0.0,1051.0
480291701021,962.0,17.0,9.0,1.0,0.0,7.0,945.0
480291807022,1236.0,493.0,376.0,54.0,52.0,11.0,743.0
480291807023,382.0,119.0,119.0,0.0,0.0,0.0,263.0
480291807025,596.0,288.0,288.0,0.0,0.0,0.0,308.0
480291809012,1325.0,236.0,180.0,0.0,25.0,31.0,1089.0
480291809015,833.0,202.0,192.0,0.0,0.0,10.0,631.0
480291106003,3071.0,916.0,458.0,427.0,9.0,22.0,2155.0
480291108002,577.0,193.0,127.0,55.0,0.0,11.0,384.0
480291108001,729.0,147.0,124.0,17.0,0.0,6.0,582.0
480291208004,858.0,696.0,650.0,0.0,15.0,31.0,162.0
480291208006,950.0,795.0,782.0,0.0,13.0,0.0,155.0
480291208001,925.0,876.0,876.0,0.0,0.0,0.0,49.0
480291208002,1058.0,766.0,687.0,37.0,16.0,26.0,292.0
480291208005,847.0,743.0,722.0,0.0,21.0,0.0,104.0
480291208007,759.0,681.0,665.0,0.0,0.0,16.0,78.0
480291208003,1406.0,1149.0,1008.0,0.0,86.0,55.0,257.0
480291211113,1642.0,642.0,484.0,110.0,31.0,17.0,1000.0
480291211111,996.0,657.0,607.0,0.0,0.0,50.0,339.0
480291211112,1919.0,1053.0,1013.0,0.0,0.0,40.0,866.0
480291211114,2356.0,1276.0,440.0,500.0,0.0,336.0,1080.0
480291211161,1918.0,1011.0,961.0,37.0,13.0,0.0,907.0
480291211164,1559.0,799.0,638.0,93.0,40.0,28.0,760.0
480291211162,484.0,306.0,294.0,0.0,0.0,12.0,178.0
480291211181,1632.0,1336.0,1154.0,118.0,64.0,0.0,296.0
480291211182,2195.0,1311.0,704.0,531.0,0.0,76.0,884.0
480291212031,661.0,561.0,456.0,96.0,0.0,9.0,100.0
480291212032,1508.0,328.0,194.0,93.0,0.0,41.0,1180.0
480291212051,3307.0,1356.0,964.0,320.0,36.0,36.0,1951.0
480291817182,1878.0,1101.0,775.0,192.0,78.0,56.0,777.0
480291818111,3375.0,1679.0,1416.0,117.0,99.0,47.0,1696.0
480291902003,927.0,552.0,512.0,25.0,0.0,15.0,375.0
480291902004,929.0,374.0,291.0,41.0,0.0,42.0,555.0
480291902001,576.0,310.0,310.0,0.0,0.0,0.0,266.0
480291802021,1103.0,234.0,155.0,25.0,14.0,40.0,869.0
480291802023,1508.0,438.0,312.0,82.0,23.0,21.0,1070.0
480291805013,1148.0,244.0,147.0,97.0,0.0,0.0,904.0
480291805012,513.0,144.0,81.0,51.0,12.0,0.0,369.0
480291805011,1792.0,438.0,295.0,120.0,23.0,0.0,1354.0
480291808002,1299.0,499.0,313.0,186.0,0.0,0.0,800.0
480291808001,691.0,244.0,194.0,34.0,0.0,16.0,447.0
480291708002,774.0,95.0,49.0,37.0,9.0,0.0,679.0
480291106002,1415.0,226.0,132.0,60.0,0.0,34.0,1189.0
480291504001,414.0,55.0,30.0,0.0,0.0,25.0,359.0
480291504002,1158.0,188.0,186.0,1.0,1.0,0.0,970.0
