block_group,B08134_001E,B08134_003E_M,B08134_006E_M,B08134_009E_M,B08134_010E,B08134_011E,B08134_013E_M,B08134_016E_M,B08134_019E_M,B08134_020E,B08134_071E,B08134_073E_M,B08134_076E_M,B08134_079E_M,B08134_080E
480291805031,366.0,43.0,154.0,169.0,0.0,336.0,43.0,129.0,164.0,0.0,5.0,0.0,0.0,5.0,0.0
480291805032,765.0,187.0,374.0,204.0,0.0,765.0,187.0,374.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0
480291704013,416.0,92.0,175.0,133.0,16.0,332.0,92.0,175.0,65.0,0.0,43.0,0.0,0.0,27.0,16.0
480291704012,140.0,23.0,57.0,50.0,10.0,100.0,23.0,36.0,41.0,0.0,30.0,0.0,11.0,9.0,10.0
480291914061,1211.0,179.0,648.0,355.0,29.0,1189.0,167.0,648.0,355.0,19.0,10.0,0.0,0.0,0.0,10.0
480291914092,1780.0,313.0,1107.0,320.0,40.0,1634.0,313.0,1069.0,212.0,40.0,104.0,0.0,24.0,80.0,0.0
480291212042,935.0,225.0,503.0,95.0,112.0,856.0,211.0,500.0,95.0,50.0,65.0,0.0,3.0,0.0,62.0
480291215081,626.0,108.0,313.0,157.0,48.0,626.0,108.0,313.0,157.0,48.0,0.0,0.0,0.0,0.0,0.0
480291914051,1574.0,196.0,952.0,389.0,37.0,1484.0,143.0,952.0,389.0,0.0,37.0,0.0,0.0,0.0,37.0
480291914052,1093.0,211.0,447.0,360.0,75.0,993.0,210.0,411.0,343.0,29.0,46.0,0.0,0.0,0.0,46.0
480291914053,651.0,149.0,315.0,134.0,53.0,590.0,149.0,264.0,124.0,53.0,10.0,0.0,0.0,10.0,0.0
480291914055,358.0,107.0,104.0,147.0,0.0,358.0,107.0,104.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
480291709001,482.0,149.0,215.0,87.0,31.0,473.0,149.0,206.0,87.0,31.0,9.0,0.0,9.0,0.0,0.0
480291709003,330.0,70.0,184.0,76.0,0.0,283.0,70.0,137.0,76.0,0.0,47.0,0.0,47.0,0.0,0.0
480291610002,755.0,267.0,276.0,174.0,38.0,703.0,253.0,276.0,174.0,0.0,52.0,14.0,0.0,0.0,38.0
480291610001,681.0,150.0,155.0,296.0,80.0,606.0,129.0,147.0,274.0,56.0,67.0,21.0,0.0,22.0,24.0
480291615015,619.0,212.0,157.0,191.0,59.0,580.0,173.0,157.0,191.0,59.0,0.0,0.0,0.0,0.0,0.0
480291615011,1521.0,302.0,546.0,488.0,185.0,1355.0,287.0,502.0,412.0,154.0,123.0,0.0,44.0,48.0,31.0
480291615013,572.0,144.0,208.0,186.0,34.0,557.0,144.0,193.0,186.0,34.0,15.0,0.0,15.0,0.0,0.0
480291711001,768.0,67.0,352.0,258.0,91.0,754.0,54.0,352.0,258.0,90.0,1.0,0.0,0.0,0.0,1.0
480291620011,914.0,141.0,338.0,357.0,78.0,908.0,140.0,337.0,357.0,74.0,0.0,0.0,0.0,0.0,0.0
480291701022,586.0,145.0,390.0,51.0,0.0,586.0,145.0,390.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
480291701021,502.0,23.0,250.0,156.0,73.0,342.0,23.0,195.0,124.0,0.0,137.0,0.0,55.0,9.0,73.0
480291807022,649.0,124.0,298.0,227.0,0.0,614.0,89.0,298.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0
480291807023,185.0,9.0,129.0,47.0,0.0,185.0,9.0,129.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
480291807025,163.0,21.0,70.0,72.0,0.0,146.0,21.0,70.0,55.0,0.0,17.0,0.0,0.0,17.0,0.0
480291809012,568.0,42.0,323.0,203.0,0.0,568.0,42.0,323.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0
480291809015,410.0,82.0,238.0,90.0,0.0,410.0,82.0,238.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
480291106003,86.0,0.0,23.0,58.0,5.0,48.0,0.0,0.0,43.0,5.0,19.0,0.0,4.0,15.0,0.0
480291108002,194.0,95.0,90.0,0.0,9.0,177.0,78.0,90.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
480291108001,358.0,81.0,225.0,21.0,31.0,262.0,68.0,156.0,7.0,31.0,38.0,0.0,33.0,5.0,0.0
480291208004,318.0,173.0,96.0,49.0,0.0,318.0,173.0,96.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
480291208006,496.0,263.0,133.0,100.0,0.0,445.0,212.0,133.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
480291208001,452.0,139.0,256.0,28.0,29.0,452.0,139.0,256.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0
480291208002,436.0,58.0,293.0,68.0,17.0,411.0,35.0,293.0,68.0,15.0,0.0,0.0,0.0,0.0,0.0
480291208005,289.0,69.0,183.0,37.0,0.0,289.0,69.0,183.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
480291208007,369.0,143.0,226.0,0.0,0.0,369.0,143.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480291208003,717.0,272.0,313.0,132.0,0.0,717.0,272.0,313.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
480291211113,802.0,196.0,347.0,222.0,37.0,756.0,150.0,347.0,222.0,37.0,9.0,9.0,0.0,0.0,0.0
480291211111,540.0,91.0,247.0,202.0,0.0,540.0,91.0,247.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0
480291211112,986.0,163.0,652.0,141.0,30.0,981.0,158.0,652.0,141.0,30.0,5.0,5.0,0.0,0.0,0.0
480291211114,902.0,280.0,374.0,248.0,0.0,861.0,280.0,351.0,230.0,0.0,18.0,0.0,0.0,18.0,0.0
480291211161,967.0,482.0,373.0,78.0,34.0,762.0,311.0,373.0,78.0,0.0,34.0,0.0,0.0,0.0,34.0
480291211164,858.0,208.0,426.0,213.0,11.0,847.0,208.0,426.0,213.0,0.0,11.0,0.0,0.0,0.0,11.0
480291211162,143.0,42.0,86.0,15.0,0.0,143.0,42.0,86.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
