block_group,B08301_001E,B08301_002E,B08301_003E,B08301_004E,B08301_011E,B08301_021E
480291805031,366.0,336.0,294.0,42.0,5.0,0.0
480291805032,777.0,765.0,656.0,109.0,0.0,12.0
480291704013,416.0,332.0,249.0,83.0,43.0,0.0
480291704012,140.0,100.0,83.0,17.0,30.0,0.0
480291914061,1459.0,1189.0,1116.0,73.0,10.0,248.0
480291914092,1803.0,1634.0,1429.0,205.0,104.0,23.0
480291212042,969.0,856.0,702.0,154.0,65.0,34.0
480291215081,626.0,626.0,568.0,58.0,0.0,0.0
480291914051,1607.0,1484.0,1445.0,39.0,37.0,33.0
480291914052,1198.0,993.0,976.0,17.0,46.0,105.0
480291914053,750.0,590.0,549.0,41.0,10.0,99.0
480291914055,380.0,358.0,340.0,18.0,0.0,22.0
480291709001,482.0,473.0,433.0,40.0,9.0,0.0
480291709003,330.0,283.0,235.0,48.0,47.0,0.0
480291610002,764.0,703.0,562.0,141.0,52.0,9.0
480291610001,710.0,606.0,465.0,141.0,67.0,29.0
480291615015,646.0,580.0,478.0,102.0,0.0,27.0
480291615011,1521.0,1355.0,1093.0,262.0,123.0,0.0
480291615013,588.0,557.0,355.0,202.0,15.0,16.0
480291711001,768.0,754.0,552.0,202.0,1.0,0.0
480291620011,933.0,908.0,773.0,135.0,0.0,19.0
480291701022,586.0,586.0,507.0,79.0,0.0,0.0
480291701021,502.0,342.0,342.0,0.0,137.0,0.0
480291807022,649.0,614.0,614.0,0.0,0.0,0.0
480291807023,185.0,185.0,185.0,0.0,0.0,0.0
480291807025,213.0,146.0,146.0,0.0,17.0,50.0
480291809012,577.0,568.0,481.0,87.0,0.0,9.0
480291809015,410.0,410.0,396.0,14.0,0.0,0.0
480291106003,86.0,48.0,38.0,10.0,19.0,0.0
480291108002,194.0,177.0,158.0,19.0,0.0,0.0
480291108001,371.0,262.0,200.0,62.0,38.0,13.0
480291208004,335.0,318.0,318.0,0.0,0.0,17.0
480291208006,510.0,445.0,421.0,24.0,0.0,14.0
480291208001,489.0,452.0,414.0,38.0,0.0,37.0
480291208002,464.0,411.0,379.0,32.0,0.0,28.0
480291208005,306.0,289.0,289.0,0.0,0.0,17.0
480291208007,400.0,369.0,329.0,40.0,0.0,31.0
