block_group,B08302_001E,B08302_002E,B08302_004E_M,B08302_006E_M,B08302_008E_M,B08302_010E_M,B08302_011E,B08302_013E_M,B08302_014E,B08302_015E
480291805031,366.0,0.0,57.0,51.0,143.0,57.0,10.0,0.0,46.0,2.0
480291805032,765.0,38.0,201.0,128.0,130.0,43.0,0.0,86.0,68.0,71.0
480291704013,416.0,18.0,0.0,79.0,151.0,84.0,41.0,0.0,34.0,9.0
480291704012,140.0,0.0,0.0,38.0,48.0,10.0,13.0,0.0,21.0,10.0
480291914061,1211.0,20.0,64.0,156.0,462.0,237.0,105.0,57.0,70.0,40.0
480291914092,1780.0,76.0,122.0,109.0,510.0,367.0,237.0,86.0,58.0,215.0
480291212042,935.0,30.0,114.0,163.0,296.0,119.0,76.0,0.0,35.0,102.0
480291215081,626.0,58.0,93.0,63.0,152.0,13.0,25.0,72.0,11.0,139.0
480291914051,1574.0,79.0,97.0,143.0,443.0,174.0,142.0,35.0,231.0,230.0
480291914052,1093.0,36.0,81.0,16.0,450.0,178.0,163.0,66.0,55.0,48.0
480291914053,651.0,0.0,102.0,114.0,173.0,119.0,57.0,0.0,45.0,41.0
480291914055,358.0,0.0,39.0,100.0,57.0,95.0,0.0,0.0,51.0,16.0
480291709001,482.0,97.0,19.0,29.0,124.0,165.0,0.0,10.0,27.0,11.0
480291709003,330.0,10.0,62.0,57.0,164.0,9.0,28.0,0.0,0.0,0.0
480291610002,755.0,17.0,12.0,256.0,205.0,84.0,37.0,93.0,26.0,25.0
480291610001,681.0,36.0,0.0,296.0,102.0,66.0,81.0,72.0,15.0,13.0
480291615015,619.0,34.0,117.0,173.0,107.0,31.0,72.0,0.0,0.0,85.0
480291615011,1521.0,45.0,176.0,373.0,279.0,74.0,153.0,66.0,245.0,110.0
480291615013,572.0,33.0,15.0,268.0,51.0,92.0,0.0,37.0,41.0,35.0
480291711001,768.0,57.0,23.0,151.0,301.0,107.0,56.0,0.0,9.0,64.0
480291620011,914.0,78.0,130.0,228.0,166.0,69.0,15.0,44.0,54.0,130.0
480291701022,586.0,0.0,0.0,52.0,336.0,69.0,0.0,0.0,57.0,72.0
480291701021,502.0,0.0,9.0,177.0,32.0,0.0,71.0,128.0,0.0,85.0
480291807022,649.0,0.0,0.0,43.0,345.0,160.0,19.0,23.0,30.0,29.0
480291807023,185.0,0.0,0.0,75.0,40.0,9.0,0.0,23.0,14.0,24.0
480291807025,163.0,0.0,0.0,5.0,86.0,17.0,14.0,0.0,0.0,41.0
480291809012,568.0,26.0,33.0,86.0,167.0,20.0,61.0,63.0,100.0,12.0
480291809015,410.0,0.0,8.0,49.0,132.0,34.0,103.0,39.0,20.0,25.0
480291106003,86.0,0.0,4.0,7.0,36.0,0.0,0.0,0.0,15.0,24.0
480291108002,194.0,0.0,16.0,5.0,68.0,30.0,41.0,20.0,0.0,14.0
480291108001,358.0,12.0,23.0,118.0,86.0,65.0,16.0,0.0,17.0,21.0
480291208004,318.0,0.0,0.0,0.0,88.0,151.0,63.0,0.0,0.0,16.0
480291208006,496.0,0.0,0.0,19.0,180.0,162.0,35.0,62.0,23.0,15.0
480291208001,452.0,14.0,0.0,17.0,151.0,143.0,72.0,0.0,39.0,16.0
480291208002,436.0,0.0,0.0,38.0,207.0,126.0,31.0,18.0,0.0,16.0
480291208005,289.0,0.0,0.0,40.0,83.0,115.0,34.0,0.0,17.0,0.0
480291208007,369.0,0.0,25.0,0.0,122.0,89.0,61.0,0.0,58.0,14.0
480291208003,717.0,0.0,36.0,75.0,312.0,258.0,0.0,0.0,0.0,36.0
480291211113,802.0,21.0,22.0,292.0,144.0,79.0,91.0,27.0,85.0,41.0
480291211111,540.0,0.0,20.0,177.0,199.0,53.0,0.0,0.0,18.0,73.0
480291211112,986.0,0.0,34.0,327.0,221.0,100.0,19.0,56.0,69.0,160.0
480291211114,902.0,21.0,23.0,249.0,276.0,111.0,27.0,61.0,51.0,83.0
480291211161,967.0,17.0,34.0,92.0,238.0,209.0,64.0,51.0,184.0,78.0
480291211164,858.0,25.0,0.0,193.0,353.0,126.0,42.0,0.0,60.0,59.0
480291211162,143.0,13.0,0.0,16.0,31.0,27.0,41.0,15.0,0.0,0.0
480291211181,776.0,0.0,41.0,145.0,317.0,40.0,104.0,82.0,0.0,47.0
480291211182,1666.0,103.0,45.0,310.0,407.0,126.0,219.0,98.0,274.0,84.0
480291212031,271.0,0.0,9.0,57.0,148.0,39.0,0.0,0.0,18.0,0.0
480291212032,639.0,33.0,0.0,163.0,189.0,36.0,52.0,10.0,93.0,63.0
480291212051,1430.0,187.0,87.0,264.0,312.0,416.0,12.0,60.0,27.0,65.0
480291817182,895.0,33.0,58.0,263.0,223.0,73.0,50.0,25.0,29.0,141.0
480291818111,1704.0,81.0,49.0,347.0,466.0,196.0,148.0,66.0,76.0,275.0
480291902003,602.0,0.0,0.0,94.0,257.0,118.0,53.0,33.0,29.0,18.0
480291902004,343.0,0.0,0.0,54.0,109.0,19.0,0.0,11.0,0.0,150.0
480291902001,279.0,0.0,8.0,14.0,155.0,69.0,19.0,14.0,0.0,0.0
480291802021,403.0,0.0,0.0,77.0,247.0,35.0,0.0,14.0,0.0,30.0
480291802023,541.0,32.0,0.0,59.0,159.0,188.0,60.0,12.0,17.0,14.0
480291805013,423.0,0.0,4.0,134.0,55.0,118.0,18.0,13.0,67.0,14.0
480291805012,245.0,8.0,0.0,54.0,50.0,77.0,23.0,8.0,17.0,8.0
480291805011,698.0,0.0,45.0,226.0,124.0,65.0,45.0,76.0,65.0,52.0
480291808002,578.0,86.0,34.0,74.0,203.0,50.0,20.0,34.0,56.0,21.0
480291808001,396.0,16.0,24.0,54.0,127.0,48.0,9.0,0.0,59.0,59.0
480291708002,314.0,20.0,35.0,95.0,83.0,51.0,14.0,0.0,10.0,6.0
480291106002,479.0,20.0,31.0,66.0,95.0,48.0,18.0,24.0,107.0,70.0
480291504001,173.0,31.0,34.0,21.0,0.0,27.0,25.0,0.0,35.0,0.0
480291504002,301.0,58.0,23.0,44.0,97.0,10.0,0.0,19.0,40.0,10.0
480291510001,480.0,40.0,16.0,55.0,213.0,28.0,106.0,4.0,0.0,18.0
480291521002,461.0,7.0,33.0,118.0,78.0,92.0,45.0,53.0,22.0,13.0
480291521001,429.0,22.0,38.0,108.0,140.0,59.0,0.0,13.0,0.0,49.0
480291607024,303.0,7.0,66.0,16.0,41.0,15.0,12.0,0.0,30.0,116.0
480291607023,449.0,65.0,36.0,98.0,138.0,9.0,17.0,18.0,51.0,17.0
480291616002,1065.0,75.0,93.0,124.0,391.0,77.0,18.0,27.0,100.0,160.0
480291616001,761.0,15.0,46.0,223.0,134.0,42.0,72.0,0.0,108.0,121.0
480291216012,650.0,0.0,46.0,217.0,154.0,126.0,0.0,64.0,18.0,25.0
480291216013,743.0,63.0,119.0,31.0,67.0,159.0,0.0,0.0,258.0,46.0
480291216014,411.0,0.0,41.0,47.0,80.0,187.0,0.0,30.0,14.0,12.0
480291218021,1008.0,0.0,131.0,386.0,262.0,22.0,106.0,20.0,29.0,52.0
480291218023,1727.0,82.0,77.0,431.0,424.0,176.0,12.0,74.0,277.0,174.0
480291303002,413.0,35.0,0.0,97.0,86.0,139.0,48.0,0.0,0.0,8.0
480291303001,218.0,25.0,47.0,0.0,60.0,28.0,0.0,43.0,0.0,15.0
480291307002,353.0,9.0,43.0,62.0,112.0,61.0,45.0,0.0,0.0,21.0
480291307001,454.0,0.0,107.0,37.0,125.0,69.0,0.0,11.0,75.0,30.0
480291702004,333.0,0.0,17.0,47.0,78.0,90.0,26.0,0.0,71.0,4.0
480291702006,341.0,0.0,7.0,88.0,117.0,76.0,7.0,0.0,0.0,46.0
480291702002,334.0,60.0,69.0,58.0,26.0,31.0,0.0,0.0,84.0,6.0
480291702005,115.0,0.0,0.0,14.0,54.0,19.0,5.0,0.0,15.0,8.0
480291702001,258.0,12.0,41.0,58.0,93.0,15.0,12.0,15.0,0.0,12.0
480291316011,342.0,27.0,42.0,102.0,46.0,10.0,0.0,55.0,42.0,18.0
480291317001,378.0,10.0,23.0,77.0,193.0,22.0,9.0,10.0,11.0,23.0
480291412004,240.0,0.0,39.0,55.0,83.0,26.0,6.0,31.0,0.0,0.0
480291412001,584.0,0.0,71.0,47.0,60.0,104.0,104.0,64.0,74.0,60.0
480291412005,582.0,48.0,20.0,169.0,221.0,38.0,31.0,0.0,55.0,0.0
480291412002,533.0,19.0,38.0,11.0,182.0,54.0,0.0,33.0,109.0,87.0
480291501003,401.0,54.0,15.0,116.0,64.0,90.0,24.0,0.0,12.0,26.0
480291309002,360.0,18.0,41.0,58.0,64.0,26.0,0.0,0.0,80.0,73.0
480291309003,420.0,27.0,83.0,134.0,83.0,7.0,16.0,29.0,8.0,33.0
480291310003,350.0,10.0,44.0,38.0,70.0,68.0,44.0,16.0,60.0,0.0
480291310004,217.0,0.0,89.0,42.0,27.0,35.0,7.0,7.0,4.0,6.0
480291310001,862.0,30.0,124.0,68.0,234.0,86.0,99.0,30.0,142.0,49.0
480291310002,273.0,30.0,45.0,0.0,89.0,25.0,0.0,27.0,43.0,14.0
480291405003,557.0,13.0,49.0,107.0,235.0,24.0,37.0,26.0,21.0,45.0
480291405002,656.0,0.0,55.0,189.0,207.0,42.0,41.0,16.0,53.0,53.0
480291405001,394.0,22.0,40.0,55.0,161.0,8.0,0.0,53.0,17.0,38.0
480291405004,290.0,0.0,32.0,41.0,135.0,18.0,45.0,0.0,13.0,6.0
480291406002,420.0,14.0,0.0,84.0,212.0,15.0,6.0,6.0,15.0,68.0
480291406001,828.0,67.0,69.0,191.0,258.0,33.0,50.0,27.0,99.0,34.0
480291407003,262.0,2.0,7.0,169.0,38.0,18.0,20.0,8.0,0.0,0.0
480291407001,457.0,10.0,32.0,155.0,93.0,16.0,27.0,13.0,55.0,56.0
480291407004,389.0,41.0,0.0,74.0,79.0,62.0,21.0,11.0,101.0,0.0
480291407005,569.0,21.0,4.0,204.0,111.0,18.0,56.0,101.0,16.0,38.0
480291413001,432.0,66.0,22.0,87.0,169.0,22.0,13.0,0.0,0.0,53.0
480291413003,1496.0,144.0,107.0,350.0,465.0,129.0,25.0,39.0,141.0,96.0
480291702003,383.0,7.0,36.0,168.0,101.0,33.0,29.0,0.0,0.0,9.0
480291806023,353.0,58.0,18.0,28.0,126.0,65.0,50.0,0.0,8.0,0.0
480291806021,423.0,0.0,0.0,125.0,133.0,87.0,21.0,34.0,9.0,14.0
480291911021,286.0,0.0,0.0,24.0,84.0,85.0,54.0,27.0,12.0,0.0
480291911022,350.0,2.0,21.0,25.0,108.0,141.0,23.0,0.0,0.0,30.0
480291911023,430.0,0.0,59.0,84.0,133.0,69.0,26.0,20.0,0.0,39.0
480291209012,719.0,0.0,43.0,60.0,161.0,120.0,34.0,116.0,145.0,40.0
480291209011,383.0,31.0,0.0,117.0,94.0,34.0,41.0,8.0,33.0,25.0
480291211122,764.0,51.0,60.0,124.0,253.0,126.0,37.0,26.0,40.0,47.0
480291519001,647.0,0.0,16.0,132.0,174.0,148.0,0.0,86.0,31.0,60.0
480291409002,489.0,18.0,59.0,131.0,94.0,50.0,16.0,55.0,50.0,16.0
480291417001,1289.0,37.0,57.0,217.0,486.0,288.0,59.0,0.0,35.0,110.0
480291417002,1292.0,62.0,93.0,434.0,224.0,265.0,68.0,12.0,35.0,99.0
480291505012,439.0,19.0,0.0,114.0,176.0,96.0,0.0,0.0,34.0,0.0
480291505014,573.0,0.0,72.0,156.0,66.0,55.0,71.0,80.0,57.0,16.0
480291604002,712.0,90.0,51.0,167.0,245.0,48.0,0.0,37.0,27.0,47.0
480291604004,303.0,9.0,15.0,74.0,76.0,20.0,33.0,27.0,28.0,21.0
480291604001,499.0,69.0,0.0,137.0,153.0,139.0,0.0,1.0,0.0,0.0
480291604003,376.0,30.0,21.0,51.0,119.0,32.0,0.0,0.0,49.0,74.0
480291611005,716.0,0.0,141.0,282.0,51.0,61.0,0.0,0.0,68.0,113.0
480291611006,204.0,0.0,82.0,34.0,44.0,14.0,30.0,0.0,0.0,0.0
480291611001,1457.0,13.0,199.0,313.0,306.0,127.0,85.0,38.0,166.0,210.0
480291611004,840.0,107.0,267.0,132.0,37.0,62.0,65.0,0.0,84.0,86.0
480291611003,467.0,56.0,99.0,51.0,61.0,65.0,0.0,20.0,69.0,46.0
480291611002,302.0,0.0,29.0,143.0,34.0,25.0,41.0,0.0,30.0,0.0
480291813012,860.0,0.0,61.0,137.0,358.0,132.0,19.0,74.0,51.0,28.0
480291813011,1751.0,38.0,147.0,395.0,309.0,399.0,150.0,15.0,135.0,163.0
480291814021,393.0,12.0,0.0,151.0,80.0,74.0,34.0,34.0,8.0,0.0
480291814022,703.0,35.0,50.0,87.0,212.0,118.0,21.0,14.0,86.0,80.0
480291109001,1081.0,27.0,57.0,229.0,301.0,220.0,139.0,24.0,35.0,49.0
480291110003,692.0,85.0,78.0,133.0,126.0,106.0,95.0,23.0,14.0,32.0
480291110002,268.0,18.0,18.0,37.0,49.0,80.0,25.0,0.0,10.0,31.0
480291204001,781.0,0.0,14.0,97.0,197.0,257.0,216.0,0.0,0.0,0.0
480291204005,454.0,0.0,0.0,18.0,82.0,209.0,40.0,60.0,25.0,20.0
480291710004,569.0,88.0,21.0,49.0,112.0,68.0,23.0,25.0,139.0,44.0
480291204003,314.0,0.0,0.0,0.0,81.0,30.0,103.0,73.0,13.0,14.0
480291207021,1097.0,55.0,0.0,50.0,370.0,426.0,115.0,0.0,43.0,38.0
