block_group,B08303_001E,B08303_004E_M,B08303_007E_M,B08303_011E_M,B08303_013E_M
480291805031,366.0,43.0,154.0,169.0,0.0
480291805032,765.0,187.0,374.0,204.0,0.0
480291704013,416.0,92.0,175.0,133.0,16.0
480291704012,140.0,23.0,57.0,50.0,10.0
480291914061,1211.0,179.0,648.0,355.0,29.0
480291914092,1780.0,313.0,1107.0,320.0,40.0
480291212042,935.0,225.0,503.0,95.0,112.0
480291215081,626.0,108.0,313.0,157.0,48.0
480291914051,1574.0,196.0,952.0,389.0,37.0
480291914052,1093.0,211.0,447.0,360.0,75.0
480291914053,651.0,149.0,315.0,134.0,53.0
480291914055,358.0,107.0,104.0,147.0,0.0
480291709001,482.0,149.0,215.0,87.0,31.0
480291709003,330.0,70.0,184.0,76.0,0.0
480291610002,755.0,267.0,276.0,174.0,38.0
480291610001,681.0,150.0,155.0,296.0,80.0
480291615015,619.0,212.0,157.0,191.0,59.0
480291615011,1521.0,302.0,546.0,488.0,185.0
480291615013,572.0,144.0,208.0,186.0,34.0
480291711001,768.0,67.0,352.0,258.0,91.0
480291620011,914.0,141.0,338.0,357.0,78.0
480291701022,586.0,145.0,390.0,51.0,0.0
480291701021,502.0,23.0,250.0,156.0,73.0
480291807022,649.0,124.0,298.0,227.0,0.0
480291807023,185.0,9.0,129.0,47.0,0.0
480291807025,163.0,21.0,70.0,72.0,0.0
480291809012,568.0,42.0,323.0,203.0,0.0
480291809015,410.0,82.0,238.0,90.0,0.0
480291106003,86.0,0.0,23.0,58.0,5.0
480291108002,194.0,95.0,90.0,0.0,9.0
480291108001,358.0,81.0,225.0,21.0,31.0
480291208004,318.0,173.0,96.0,49.0,0.0
480291208006,496.0,263.0,133.0,100.0,0.0
480291208001,452.0,139.0,256.0,28.0,29.0
480291208002,436.0,58.0,293.0,68.0,17.0
480291208005,289.0,69.0,183.0,37.0,0.0
480291208007,369.0,143.0,226.0,0.0,0.0
480291208003,717.0,272.0,313.0,132.0,0.0
480291211113,802.0,196.0,347.0,222.0,37.0
480291211111,540.0,91.0,247.0,202.0,0.0
480291211112,986.0,163.0,652.0,141.0,30.0
480291211114,902.0,280.0,374.0,248.0,0.0
480291211161,967.0,482.0,373.0,78.0,34.0
480291211164,858.0,208.0,426.0,213.0,11.0
480291211162,143.0,42.0,86.0,15.0,0.0
480291211181,776.0,171.0,188.0,356.0,61.0
480291211182,1666.0,360.0,960.0,334.0,12.0
480291212031,271.0,11.0,191.0,58.0,11.0
480291212032,639.0,246.0,325.0,56.0,12.0
480291212051,1430.0,341.0,814.0,140.0,135.0
480291817182,895.0,116.0,343.0,366.0,70.0
480291818111,1704.0,451.0,616.0,479.0,158.0
480291902003,602.0,352.0,177.0,42.0,31.0
480291902004,343.0,207.0,97.0,39.0,0.0
480291902001,279.0,181.0,81.0,17.0,0.0
480291802021,403.0,56.0,95.0,189.0,63.0
480291802023,541.0,110.0,337.0,60.0,34.0
480291805013,423.0,87.0,175.0,114.0,47.0
480291805012,245.0,24.0,127.0,60.0,34.0
480291805011,698.0,118.0,319.0,202.0,59.0
480291808002,578.0,78.0,376.0,104.0,20.0
480291808001,396.0,47.0,282.0,28.0,39.0
480291708002,314.0,83.0,123.0,108.0,0.0
480291106002,479.0,117.0,238.0,92.0,32.0
480291504001,173.0,13.0,118.0,42.0,0.0
480291504002,301.0,45.0,227.0,8.0,21.0
480291510001,480.0,160.0,205.0,115.0,0.0
480291521002,461.0,10.0,140.0,296.0,15.0
480291521001,429.0,0.0,133.0,265.0,31.0
480291607024,303.0,63.0,133.0,85.0,22.0
480291607023,449.0,0.0,240.0,173.0,36.0
480291616002,1065.0,252.0,246.0,440.0,127.0
480291616001,761.0,99.0,377.0,212.0,73.0
480291216012,650.0,187.0,300.0,129.0,34.0
480291216013,743.0,74.0,368.0,232.0,69.0
480291216014,411.0,204.0,147.0,42.0,18.0
480291218021,1008.0,306.0,397.0,257.0,48.0
480291218023,1727.0,481.0,836.0,336.0,74.0
480291303002,413.0,74.0,182.0,157.0,0.0
480291303001,218.0,99.0,8.0,111.0,0.0
480291307002,353.0,111.0,116.0,112.0,14.0
480291307001,454.0,98.0,191.0,108.0,57.0
480291702004,333.0,52.0,164.0,117.0,0.0
480291702006,341.0,25.0,206.0,110.0,0.0
480291702002,334.0,110.0,95.0,129.0,0.0
480291702005,115.0,16.0,54.0,22.0,23.0
480291702001,258.0,77.0,90.0,75.0,16.0
480291316011,342.0,78.0,116.0,148.0,0.0
480291317001,378.0,239.0,49.0,85.0,5.0
480291412004,240.0,6.0,127.0,74.0,33.0
480291412001,584.0,223.0,29.0,241.0,91.0
480291412005,582.0,170.0,268.0,98.0,46.0
480291412002,533.0,11.0,224.0,258.0,40.0
480291501003,401.0,83.0,179.0,119.0,20.0
480291309002,360.0,100.0,166.0,67.0,27.0
480291309003,420.0,43.0,227.0,71.0,79.0
480291310003,350.0,220.0,13.0,88.0,29.0
480291310004,217.0,129.0,88.0,0.0,0.0
480291310001,862.0,277.0,285.0,225.0,75.0
480291310002,273.0,36.0,160.0,77.0,0.0
480291405003,557.0,163.0,362.0,32.0,0.0
