block_group,B19001_001E,B19001_002E,B19001_005E_M,B19001_010E_M,B19001_013E_M,B19001_016E_M,B19001_017E
480291805031,240.0,10.0,8.0,40.0,164.0,18.0,0.0
480291805032,536.0,33.0,116.0,91.0,244.0,52.0,0.0
480291704013,409.0,130.0,181.0,73.0,13.0,12.0,0.0
480291704012,190.0,57.0,62.0,14.0,57.0,0.0,0.0
480291914061,1133.0,0.0,56.0,228.0,258.0,379.0,212.0
480291914092,1419.0,80.0,321.0,490.0,392.0,110.0,26.0
480291212042,792.0,107.0,96.0,295.0,162.0,132.0,0.0
480291215081,462.0,26.0,63.0,157.0,193.0,23.0,0.0
480291914051,1131.0,31.0,233.0,224.0,531.0,80.0,32.0
480291914052,864.0,0.0,167.0,88.0,244.0,263.0,102.0
480291914053,587.0,0.0,14.0,139.0,236.0,171.0,27.0
480291914055,423.0,16.0,54.0,54.0,139.0,146.0,14.0
480291709001,453.0,87.0,144.0,125.0,77.0,20.0,0.0
480291709003,252.0,9.0,65.0,100.0,19.0,59.0,0.0
480291610002,533.0,35.0,185.0,193.0,89.0,22.0,9.0
480291610001,628.0,95.0,221.0,170.0,102.0,13.0,27.0
480291615015,537.0,89.0,121.0,130.0,172.0,0.0,25.0
480291615011,1101.0,13.0,343.0,553.0,177.0,15.0,0.0
480291615013,387.0,14.0,56.0,136.0,151.0,30.0,0.0
480291711001,556.0,89.0,190.0,139.0,138.0,0.0,0.0
480291620011,568.0,33.0,111.0,146.0,136.0,138.0,4.0
480291701022,260.0,28.0,21.0,74.0,106.0,31.0,0.0
480291701021,339.0,19.0,196.0,42.0,82.0,0.0,0.0
480291807022,486.0,68.0,87.0,92.0,155.0,84.0,0.0
480291807023,174.0,0.0,23.0,110.0,41.0,0.0,0.0
480291807025,238.0,31.0,57.0,34.0,65.0,51.0,0.0
480291809012,434.0,85.0,95.0,46.0,197.0,11.0,0.0
480291809015,322.0,31.0,18.0,106.0,126.0,41.0,0.0
480291106003,312.0,95.0,183.0,34.0,0.0,0.0,0.0
480291108002,284.0,91.0,94.0,49.0,25.0,25.0,0.0
480291108001,319.0,43.0,55.0,93.0,117.0,11.0,0.0
480291208004,309.0,0.0,21.0,119.0,28.0,110.0,31.0
480291208006,406.0,0.0,0.0,51.0,164.0,111.0,80.0
480291208001,275.0,0.0,21.0,31.0,74.0,123.0,26.0
480291208002,490.0,14.0,14.0,29.0,256.0,136.0,41.0
480291208005,262.0,0.0,0.0,13.0,99.0,102.0,48.0
480291208007,318.0,14.0,24.0,42.0,81.0,130.0,27.0
480291208003,602.0,15.0,90.0,45.0,205.0,114.0,133.0
480291211113,521.0,30.0,23.0,247.0,160.0,61.0,0.0
480291211111,397.0,0.0,0.0,58.0,296.0,43.0,0.0
480291211112,727.0,80.0,22.0,136.0,283.0,140.0,66.0
480291211114,688.0,140.0,36.0,162.0,258.0,92.0,0.0
480291211161,763.0,18.0,123.0,282.0,187.0,95.0,58.0
480291211164,685.0,55.0,55.0,169.0,175.0,231.0,0.0
480291211162,230.0,26.0,30.0,13.0,56.0,81.0,24.0
480291211181,626.0,10.0,49.0,63.0,193.0,187.0,124.0
480291211182,1072.0,35.0,157.0,544.0,312.0,15.0,9.0
480291212031,346.0,65.0,37.0,119.0,76.0,49.0,0.0
480291212032,521.0,63.0,131.0,138.0,170.0,19.0,0.0
480291212051,920.0,22.0,217.0,289.0,316.0,76.0,0.0
480291817182,543.0,28.0,9.0,77.0,248.0,174.0,7.0
480291818111,1168.0,21.0,131.0,212.0,431.0,344.0,29.0
480291902003,429.0,15.0,60.0,93.0,104.0,125.0,32.0
480291902004,401.0,30.0,31.0,112.0,211.0,2.0,15.0
480291902001,311.0,42.0,25.0,68.0,72.0,74.0,30.0
480291802021,660.0,169.0,234.0,152.0,61.0,44.0,0.0
480291802023,703.0,186.0,261.0,158.0,67.0,31.0,0.0
480291805013,395.0,8.0,13.0,161.0,163.0,50.0,0.0
480291805012,188.0,23.0,8.0,38.0,81.0,30.0,8.0
480291805011,780.0,121.0,283.0,296.0,45.0,35.0,0.0
480291808002,555.0,86.0,109.0,210.0,134.0,6.0,10.0
480291808001,407.0,57.0,121.0,190.0,23.0,16.0,0.0
480291708002,272.0,87.0,63.0,90.0,28.0,4.0,0.0
480291106002,765.0,346.0,284.0,122.0,13.0,0.0,0.0
480291504001,174.0,21.0,29.0,83.0,34.0,0.0,7.0
480291504002,256.0,15.0,86.0,72.0,44.0,39.0,0.0
480291510001,333.0,13.0,45.0,125.0,86.0,30.0,34.0
480291521002,338.0,23.0,54.0,21.0,222.0,6.0,12.0
480291521001,307.0,29.0,41.0,77.0,117.0,43.0,0.0
480291607024,376.0,55.0,111.0,107.0,103.0,0.0,0.0
480291607023,531.0,92.0,188.0,154.0,97.0,0.0,0.0
480291616002,754.0,96.0,160.0,328.0,121.0,49.0,0.0
480291616001,480.0,16.0,56.0,187.0,168.0,53.0,0.0
480291216012,517.0,0.0,91.0,130.0,168.0,128.0,0.0
480291216013,500.0,31.0,82.0,146.0,180.0,42.0,19.0
480291216014,435.0,81.0,129.0,135.0,72.0,0.0,18.0
480291218021,825.0,0.0,20.0,226.0,368.0,211.0,0.0
480291218023,975.0,16.0,135.0,283.0,339.0,202.0,0.0
480291303002,288.0,41.0,78.0,73.0,96.0,0.0,0.0
