block_group,B24080_001E,B24080_001E_03,B24080_001E_06,B24080_001E_09,B24080_001E_10,B24080_001E_11,B24080_002E,B24080_003E,B24080_006E,B24080_009E_M,B24080_010E,B24080_011E,B24080_012E,B24080_013E,B24080_016E,B24080_019E_M,B24080_020E,B24080_021E
480291805031,366.0,255.0,24.0,87.0,0.0,0.0,186.0,113.0,22.0,51.0,0.0,0.0,180.0,142.0,2.0,36.0,0.0,0.0
480291805032,809.0,656.0,80.0,66.0,7.0,0.0,362.0,302.0,18.0,35.0,7.0,0.0,447.0,354.0,62.0,31.0,0.0,0.0
480291704013,416.0,381.0,15.0,20.0,0.0,0.0,141.0,126.0,15.0,0.0,0.0,0.0,275.0,255.0,0.0,20.0,0.0,0.0
480291704012,140.0,115.0,17.0,8.0,0.0,0.0,92.0,67.0,17.0,8.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0
480291914061,1459.0,854.0,155.0,283.0,167.0,0.0,798.0,526.0,31.0,140.0,101.0,0.0,661.0,328.0,124.0,143.0,66.0,0.0
480291914092,1787.0,1379.0,108.0,171.0,129.0,0.0,1025.0,823.0,71.0,84.0,47.0,0.0,762.0,556.0,37.0,87.0,82.0,0.0
480291212042,969.0,731.0,52.0,122.0,64.0,0.0,542.0,435.0,39.0,51.0,17.0,0.0,427.0,296.0,13.0,71.0,47.0,0.0
480291215081,623.0,401.0,28.0,151.0,31.0,12.0,402.0,258.0,28.0,81.0,23.0,12.0,221.0,143.0,0.0,70.0,8.0,0.0
480291914051,1607.0,1261.0,130.0,123.0,93.0,0.0,873.0,635.0,73.0,91.0,74.0,0.0,734.0,626.0,57.0,32.0,19.0,0.0
480291914052,1198.0,742.0,192.0,185.0,79.0,0.0,529.0,363.0,60.0,59.0,47.0,0.0,669.0,379.0,132.0,126.0,32.0,0.0
480291914053,750.0,542.0,78.0,96.0,34.0,0.0,333.0,241.0,0.0,58.0,34.0,0.0,417.0,301.0,78.0,38.0,0.0,0.0
480291914055,380.0,238.0,79.0,30.0,33.0,0.0,277.0,205.0,32.0,7.0,33.0,0.0,103.0,33.0,47.0,23.0,0.0,0.0
480291709001,558.0,365.0,0.0,116.0,77.0,0.0,231.0,145.0,0.0,29.0,57.0,0.0,327.0,220.0,0.0,87.0,20.0,0.0
480291709003,330.0,191.0,19.0,72.0,48.0,0.0,174.0,87.0,19.0,20.0,48.0,0.0,156.0,104.0,0.0,52.0,0.0,0.0
480291610002,789.0,626.0,38.0,83.0,42.0,0.0,390.0,278.0,19.0,59.0,34.0,0.0,399.0,348.0,19.0,24.0,8.0,0.0
480291610001,718.0,607.0,15.0,45.0,33.0,18.0,336.0,270.0,0.0,30.0,26.0,10.0,382.0,337.0,15.0,15.0,7.0,8.0
480291615015,671.0,487.0,24.0,74.0,86.0,0.0,439.0,301.0,24.0,28.0,86.0,0.0,232.0,186.0,0.0,46.0,0.0,0.0
480291615011,1550.0,1346.0,32.0,172.0,0.0,0.0,971.0,831.0,18.0,122.0,0.0,0.0,579.0,515.0,14.0,50.0,0.0,0.0
480291615013,588.0,510.0,0.0,78.0,0.0,0.0,393.0,329.0,0.0,64.0,0.0,0.0,195.0,181.0,0.0,14.0,0.0,0.0
480291711001,768.0,655.0,1.0,34.0,78.0,0.0,534.0,435.0,0.0,21.0,78.0,0.0,234.0,220.0,1.0,13.0,0.0,0.0
480291620011,969.0,735.0,65.0,90.0,74.0,5.0,481.0,414.0,9.0,11.0,42.0,5.0,488.0,321.0,56.0,79.0,32.0,0.0
480291701022,586.0,539.0,0.0,37.0,0.0,10.0,280.0,271.0,0.0,9.0,0.0,0.0,306.0,268.0,0.0,28.0,0.0,10.0
480291701021,511.0,290.0,55.0,72.0,94.0,0.0,224.0,201.0,0.0,0.0,23.0,0.0,287.0,89.0,55.0,72.0,71.0,0.0
480291807022,649.0,502.0,29.0,30.0,88.0,0.0,361.0,248.0,0.0,30.0,83.0,0.0,288.0,254.0,29.0,0.0,5.0,0.0
480291807023,185.0,142.0,0.0,14.0,29.0,0.0,98.0,69.0,0.0,0.0,29.0,0.0,87.0,73.0,0.0,14.0,0.0,0.0
480291807025,213.0,140.0,0.0,17.0,56.0,0.0,123.0,50.0,0.0,17.0,56.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0
480291809012,577.0,424.0,95.0,30.0,28.0,0.0,281.0,217.0,35.0,23.0,6.0,0.0,296.0,207.0,60.0,7.0,22.0,0.0
480291809015,410.0,335.0,27.0,48.0,0.0,0.0,181.0,176.0,0.0,5.0,0.0,0.0,229.0,159.0,27.0,43.0,0.0,0.0
480291106003,90.0,75.0,0.0,15.0,0.0,0.0,71.0,56.0,0.0,15.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0
480291108002,200.0,189.0,6.0,5.0,0.0,0.0,92.0,81.0,6.0,5.0,0.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0
480291108001,363.0,283.0,16.0,37.0,27.0,0.0,190.0,160.0,5.0,10.0,15.0,0.0,173.0,123.0,11.0,27.0,12.0,0.0
480291208004,356.0,280.0,27.0,49.0,0.0,0.0,180.0,147.0,0.0,33.0,0.0,0.0,176.0,133.0,27.0,16.0,0.0,0.0
480291208006,510.0,301.0,73.0,31.0,105.0,0.0,266.0,157.0,0.0,31.0,78.0,0.0,244.0,144.0,73.0,0.0,27.0,0.0
480291208001,489.0,291.0,62.0,63.0,73.0,0.0,235.0,179.0,0.0,14.0,42.0,0.0,254.0,112.0,62.0,49.0,31.0,0.0
480291208002,422.0,244.0,29.0,110.0,39.0,0.0,204.0,116.0,29.0,59.0,0.0,0.0,218.0,128.0,0.0,51.0,39.0,0.0
480291208005,306.0,188.0,29.0,70.0,19.0,0.0,187.0,155.0,0.0,32.0,0.0,0.0,119.0,33.0,29.0,38.0,19.0,0.0
480291208007,375.0,280.0,18.0,61.0,16.0,0.0,251.0,219.0,0.0,16.0,16.0,0.0,124.0,61.0,18.0,45.0,0.0,0.0
480291208003,751.0,554.0,39.0,91.0,67.0,0.0,366.0,305.0,0.0,36.0,25.0,0.0,385.0,249.0,39.0,55.0,42.0,0.0
480291211113,802.0,497.0,50.0,190.0,65.0,0.0,340.0,263.0,15.0,36.0,26.0,0.0,462.0,234.0,35.0,154.0,39.0,0.0
480291211111,594.0,472.0,17.0,35.0,70.0,0.0,338.0,233.0,0.0,35.0,70.0,0.0,256.0,239.0,17.0,0.0,0.0,0.0
480291211112,1019.0,689.0,57.0,131.0,142.0,0.0,553.0,366.0,26.0,113.0,48.0,0.0,466.0,323.0,31.0,18.0,94.0,0.0
