block_group,C17002_001E,C17002_002E,C17002_003E,C17002_005E_M,C17002_007E_M,C17002_008E
480291805031,659.0,33.0,0.0,193.0,39.0,394.0
480291805032,1942.0,160.0,280.0,158.0,173.0,1171.0
480291704013,1676.0,630.0,460.0,303.0,77.0,206.0
480291704012,730.0,260.0,69.0,116.0,159.0,126.0
480291914061,2612.0,0.0,84.0,150.0,50.0,2328.0
480291914092,2824.0,122.0,477.0,182.0,333.0,1710.0
480291212042,1635.0,257.0,24.0,202.0,98.0,1054.0
480291215081,1465.0,79.0,234.0,57.0,387.0,708.0
480291914051,2767.0,103.0,95.0,774.0,322.0,1473.0
480291914052,2152.0,2.0,110.0,108.0,52.0,1880.0
480291914053,1753.0,123.0,0.0,60.0,50.0,1520.0
480291914055,929.0,35.0,107.0,29.0,30.0,728.0
480291709001,1623.0,387.0,482.0,279.0,77.0,398.0
480291709003,592.0,32.0,85.0,115.0,118.0,242.0
480291610002,2125.0,251.0,438.0,677.0,277.0,482.0
480291610001,2017.0,512.0,373.0,314.0,301.0,517.0
480291615015,1647.0,374.0,200.0,26.0,326.0,721.0
480291615011,3279.0,126.0,771.0,883.0,728.0,771.0
480291615013,1116.0,0.0,249.0,247.0,173.0,447.0
480291711001,1924.0,316.0,428.0,421.0,0.0,759.0
480291620011,2297.0,149.0,264.0,447.0,182.0,1255.0
480291701022,1074.0,0.0,49.0,455.0,274.0,296.0
480291701021,962.0,28.0,414.0,238.0,81.0,201.0
480291807022,1236.0,265.0,58.0,38.0,166.0,709.0
480291807023,382.0,39.0,98.0,0.0,109.0,136.0
480291807025,596.0,118.0,46.0,11.0,60.0,361.0
480291809012,1325.0,176.0,232.0,138.0,178.0,601.0
480291809015,833.0,25.0,31.0,58.0,73.0,646.0
480291106003,591.0,50.0,310.0,58.0,150.0,23.0
480291108002,345.0,74.0,119.0,27.0,32.0,93.0
480291108001,690.0,80.0,34.0,143.0,59.0,374.0
480291208004,858.0,0.0,45.0,51.0,0.0,762.0
480291208006,950.0,0.0,0.0,0.0,0.0,950.0
480291208001,925.0,0.0,0.0,21.0,0.0,904.0
480291208002,1058.0,18.0,14.0,14.0,2.0,1010.0
480291208005,847.0,0.0,0.0,0.0,0.0,847.0
480291208007,759.0,14.0,14.0,0.0,39.0,692.0
480291208003,1406.0,25.0,41.0,57.0,16.0,1267.0
480291211113,1642.0,225.0,114.0,557.0,0.0,746.0
480291211111,963.0,0.0,37.0,0.0,25.0,901.0
480291211112,1919.0,128.0,71.0,93.0,47.0,1580.0
480291211114,2356.0,391.0,139.0,0.0,694.0,1132.0
480291211161,1873.0,144.0,135.0,168.0,114.0,1312.0
480291211164,1559.0,19.0,36.0,196.0,111.0,1197.0
480291211162,484.0,26.0,15.0,0.0,174.0,269.0
480291211181,1632.0,40.0,29.0,262.0,25.0,1276.0
480291211182,2195.0,99.0,240.0,299.0,510.0,1047.0
480291212031,661.0,96.0,69.0,35.0,0.0,461.0
480291212032,1508.0,135.0,91.0,71.0,552.0,659.0
480291212051,3307.0,256.0,679.0,476.0,306.0,1590.0
480291817182,1878.0,50.0,26.0,102.0,58.0,1642.0
480291818111,3375.0,23.0,206.0,383.0,235.0,2528.0
480291902003,927.0,21.0,32.0,83.0,29.0,762.0
480291902004,660.0,24.0,108.0,23.0,98.0,407.0
480291902001,558.0,114.0,14.0,0.0,47.0,383.0
480291802021,1103.0,214.0,167.0,193.0,126.0,403.0
480291802023,1508.0,230.0,416.0,148.0,235.0,479.0
480291805013,1148.0,45.0,58.0,196.0,141.0,708.0
480291805012,495.0,56.0,8.0,13.0,32.0,386.0
480291805011,1663.0,178.0,221.0,353.0,186.0,725.0
480291808002,1299.0,124.0,204.0,190.0,287.0,494.0
480291808001,691.0,162.0,68.0,67.0,36.0,358.0
480291708002,774.0,169.0,129.0,130.0,51.0,295.0
480291106002,1415.0,189.0,652.0,277.0,169.0,128.0
480291504001,414.0,0.0,33.0,29.0,66.0,286.0
480291504002,1158.0,110.0,499.0,240.0,15.0,294.0
480291510001,1270.0,31.0,105.0,415.0,186.0,533.0
480291521002,1192.0,137.0,20.0,96.0,260.0,679.0
480291521001,1128.0,138.0,95.0,371.0,6.0,518.0
480291607024,945.0,135.0,163.0,176.0,87.0,384.0
480291607023,1190.0,107.0,307.0,109.0,275.0,392.0
480291616002,2750.0,253.0,180.0,970.0,231.0,1116.0
480291616001,2002.0,115.0,399.0,106.0,335.0,1047.0
480291216012,1383.0,41.0,124.0,150.0,240.0,828.0
480291216013,1641.0,51.0,116.0,237.0,97.0,1140.0
480291216014,1231.0,316.0,51.0,177.0,220.0,467.0
480291218021,1894.0,106.0,34.0,115.0,236.0,1403.0
480291218023,3385.0,18.0,638.0,449.0,503.0,1777.0
480291303002,1026.0,106.0,14.0,268.0,9.0,629.0
480291303001,521.0,70.0,86.0,17.0,97.0,251.0
480291307002,894.0,13.0,171.0,248.0,5.0,457.0
480291307001,1861.0,361.0,487.0,599.0,124.0,290.0
480291702004,898.0,160.0,382.0,85.0,123.0,148.0
480291702006,1034.0,2.0,168.0,404.0,209.0,251.0
480291702002,757.0,0.0,247.0,153.0,87.0,270.0
480291702005,796.0,200.0,289.0,80.0,88.0,139.0
480291702001,725.0,48.0,120.0,260.0,181.0,116.0
480291316011,839.0,108.0,25.0,16.0,100.0,590.0
480291317001,1149.0,39.0,5.0,101.0,21.0,983.0
480291412004,645.0,23.0,94.0,251.0,16.0,261.0
480291412001,1839.0,272.0,771.0,190.0,260.0,346.0
480291412005,1188.0,65.0,325.0,0.0,209.0,589.0
480291412002,1255.0,64.0,392.0,126.0,279.0,394.0
480291501003,1162.0,153.0,405.0,0.0,121.0,483.0
480291309002,1169.0,121.0,116.0,162.0,156.0,614.0
480291309003,1155.0,181.0,129.0,192.0,118.0,535.0
480291310003,857.0,108.0,151.0,90.0,8.0,500.0
480291310004,728.0,173.0,155.0,39.0,169.0,192.0
480291310001,2782.0,501.0,721.0,716.0,134.0,710.0
480291310002,766.0,97.0,173.0,72.0,83.0,341.0
480291405003,1128.0,48.0,83.0,165.0,44.0,788.0
480291405002,1344.0,29.0,204.0,116.0,343.0,652.0
480291405001,825.0,93.0,0.0,60.0,245.0,427.0
480291405004,693.0,3.0,79.0,169.0,127.0,315.0
