stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
25316,25316,BLANCO & DRESDEN,,29.499014,-98.507783,,,,,,0
72479,72479,FRESNO & IH-10 W ACCESS RD.,,29.474488,-98.516238,,,,,,0
56239,56239,FREDERICKSBURG RD. & N. FLORES,,29.441883,-98.503773,,,,,,0
76759,76759,MARTIN & N. FRIO,,29.430081,-98.503058,,,,,,0
88973,88973,DOLOROSA & S. FLORES,,29.424073,-98.494741,,,,,,0
72487,72487,NACOGDOCHES & CHEEVER,,29.517577,-98.450649,,,,,,0
79977,79977,ST. MARY'S & PECAN,,29.428658,-98.491352,,,,,,0
76647,76647,FRIO & MARTIN,,29.430631,-98.503501,,,,,,0
56227,56227,FREDERICKSBURG RD. & LAUREL,,29.4421,-98.504134,,,,,,0
41556,41556,NEER & BASSE,Neer Ave & Venice St,29.488447,-98.520718,,,,,,0
25317,25317,BLANCO & DRESDEN,,29.499095,-98.507835,,,,,,0
72857,72857,BLANCO & WURZBACH PKWY,,29.559864,-98.51809,,,,,,0
55229,55229,San Antonio International Airport,,29.527545,-98.473204,,,,,,0
78539,78539,RECTOR OPPOSITE AHERN - N.STAR MALL,AHERN DR & W RECTOR DR,29.516916,-98.495928,,,,,,0
45517,45517,BLANCO & BASSE,,29.488728,-98.507862,,,,,,0
35973,35973,DENVER & S. HACKBERRY,,29.404863,-98.473301,,,,,,0
63973,63973,STEVES & CLARK,Steves Ave & Clark Ave,29.390668,-98.44839,,,,,,0
26687,26687,DOLLARHIDE & PECAN VALLEY,,29.36727,-98.438429,,,,,,0
51536,51536,PICKWELL AT TEX. DEPT. OF HUMAN SER,Pickwell Dr & Dumbarton Dr,29.35469,-98.425305,,,,,,0
26686,26686,DOLLARHIDE & PECAN VALLEY,,29.367306,-98.438367,,,,,,0
63979,63979,STEVES & CLARK,Steves Ave & Clark Ave,29.390722,-98.448493,,,,,,0
35979,35979,DENVER & S HACKBERRY,Denver Blvd & Aransas Ave,29.404918,-98.473285,,,,,,0
91666,91666,ALAMO OPPOSITE NUEVA,,29.420483,-98.488064,,,,,,0
95226,95226,BLANCO & HILDERBRAND,,29.466353,-98.507812,,,,,,0
77557,77557,SAN PEDRO & RECTOR,,29.51669,-98.499311,,,,,,0
47647,47647,SAN PEDRO & MYRTLE,,29.445079,-98.499353,,,,,,0
84439,84439,W. COMMERCE & COLORADO,,29.426695,-98.51098,,,,,,0
71639,71639,W. COMMERCE & GEN. MCMULLEN,,29.430698,-98.553208,,,,,,0
99899,99899,ENRIQUE BARRERA PKWY & ACME,,29.420408,-98.587713,,,,,,0
48499,48499,KEL-LAC PARK & RIDE,,29.402967,-98.623114,,,,,,0
88483,88483,BUENA VISTA & S.ZARZAMORA,,29.427049,-98.527157,,,,,,0
84636,84636,COLORADO & BUENA VISTA,,29.425603,-98.511135,,,,,,0
77556,77556,SAN PEDRO & RECTOR,,29.516744,-98.499208,,,,,,0
91766,91766,SAN PEDRO & E. NAKOMA,N Us-281 & E Nakoma St,29.549483,-98.487556,,,,,,0
95783,95783,E. COMMERCE & S. HACKBERRY,,29.42051,-98.473362,,,,,,0
89953,89953,E. HOUSTON & ESTATE,,29.42399,-98.394821,,,,,,0
95789,95789,E. COMMERCE & S. HACKBERRY,,29.42051,-98.473249,,,,,,0
47746,47746,SAN PEDRO & LA MANDA,,29.48714,-98.499146,,,,,,0
19257,19257,MCCULLOUGH & OBLATE,,29.503934,-98.491748,,,,,,0
99457,99457,MCCULLOUGH & ROSEWOOD,,29.46521,-98.491823,,,,,,0
59457,59457,MCCULLOUGH & CYPRESS,,29.440695,-98.49187,,,,,,0
79877,79877,ST. MARY'S BETWEEN CONVENT & MART,,29.429614,-98.491353,,,,,,0
11727,11727,S. ST. MARY'S & ALAMO,,29.415664,-98.489527,,,,,,0
52363,52363,RIGSBY & WALTERS,,29.398417,-98.452464,,,,,,0
52369,52369,RIGSBY & WALTERS,,29.398489,-98.45233,,,,,,0
11726,11726,S ST. MARY'S & ALAMO,,29.415637,-98.489475,,,,,,0
99396,99396,NAVARRO OPPOSITE VILLITA,,29.422504,-98.490434,,,,,,0
59556,59556,MCCULLOUGH & BROOKLYN,,29.440632,-98.491839,,,,,,0
93757,93757,STADIUM DR. AT TRINITY UNIVERSITY,,29.463028,-98.481144,,,,,,0
41197,41197,N. ST. MARY'S & DEWEY,,29.446687,-98.486574,,,,,,0
84637,84637,COLORADO & BUENA VISTA,,29.425675,-98.511165,,,,,,0
11449,11449,LAS PALMAS SHOPPING CENTER,LAS PALMAS MALL & CASTROVILLE RD,29.417623,-98.552866,,,,,,0
24579,24579,CASTROVILLE & S.W. 36TH,,29.411956,-98.574258,,,,,,0
34347,34347,S.W.36TH AT UNIV. HEALTH CLIN-S.W.,UNIVERSITY SOUTHWEST FAMILY HEALTH CENTER,29.408897,-98.574986,,,,,,0
24453,24453,CASTROVILLE & S.W. 36TH,,29.411821,-98.574608,,,,,,0
42116,42116,N. ST. MARY'S & JOSEPHINE,,29.446687,-98.486533,,,,,,0
78247,78247,BROADWAY & GULF MART,,29.518342,-98.463065,,,,,,0
47157,47157,BROADWAY & CASTANO,,29.490402,-98.466534,,,,,,0
88167,88167,BROADWAY & PATTERSON,,29.471364,-98.463155,,,,,,0
36997,36997,AMANDA BETWEEN I & J ST.,,29.404522,-98.436846,,,,,,0
97216,97216,W.W. WHITE RD. OPPOSITE THEIS,,29.379668,-98.404459,,,,,,0
98729,98729,E. SOUTHCROSS & PECAN VALLEY,,29.37751,-98.432205,,,,,,0
35889,35889,ARANSAS & S. HACKBERRY,Aransas Ave & S Hackberry St,29.405278,-98.47312,,,,,,0
88166,88166,BROADWAY BET TERRELL RD & ELIZABETH,Broadway Ave & Unnamed,29.471799,-98.462851,,,,,,0
47156,47156,BROADWAY & CASTANO,,29.48986,-98.466482,,,,,,0
77696,77696,BROADWAY & N.E.L410 E.ACCESS RD.,Broadway St & Ne I-410-loop,29.516197,-98.464698,,,,,,0
23953,23953,PALO ALTO COLLEGE,,29.324556,-98.544095,,,,,,0
36296,36296,NOGALITOS & S. FLORES,,29.408939,-98.501475,,,,,,0
39163,39163,CERALVO & GEN. MCMULLEN,Ceralvo St & Juanita St,29.409379,-98.556902,,,,,,0
38623,38623,CERALVO & S. ZARZAMORA,,29.406835,-98.529803,,,,,,0
23626,23626,BRAZOS & LAREDO,,29.412039,-98.515188,,,,,,0
74587,74587,PERRIN BEITEL BETWN BRETTON RIDGE & 410,,29.517746,-98.410996,,,,,,0
28989,28989,EISENHAUER & AUSTIN HWY.,Eisenhauer Rd & Unnamed,29.495785,-98.428574,,,,,,0
89277,89277,ST. MARY'S & TRAVIS,,29.427665,-98.491363,,,,,,0
38629,38629,CERALVO & S. ZARZAMORA,Ceralvo St & Unnamed,29.406882,-98.529591,,,,,,0
39169,39169,CERALVO & GEN. MCMULLEN,Ceralvo St & S General Mcmullen Dr,29.409397,-98.556603,,,,,,0
58479,58479,RITTIMAN OPPOSITE GOLDFIELD,Rittiman Rd & Goldfield Dr,29.484141,-98.397244,,,,,,0
58279,58279,RITTIMAN & HARRY WURZBACH,,29.484853,-98.429715,,,,,,0
