from_stop_id,to_stop_id,transfer_type,min_transfer_time
25317,25316,,
24393,25316,,
56227,56239,,
47947,56239,,
46337,56239,,
46637,56239,,
56427,56239,,
55887,56239,,
56126,56239,,
46636,56239,,
55963,56239,,
55969,56239,,
56477,56239,,
57523,56239,,
45766,56239,,
56847,56239,,
45987,56239,,
66166,56239,,
56846,56239,,
45959,56239,,
45983,56239,,
66167,56239,,
57567,56239,,
56489,56239,,
57553,56239,,
56127,56239,,
56426,56239,,
76647,76759,,
76719,76759,,
79823,76759,,
76646,76759,,
76753,76759,,
76773,76759,,
76779,76759,,
79877,88973,,
88977,88973,,
79823,88973,,
88953,88973,,
81226,88973,,
89913,88973,,
88976,88973,,
89963,88973,,
99157,88973,,
99496,88973,,
88777,88973,,
82127,72487,,
71773,72487,,
71599,72487,,
72746,72487,,
88973,79977,,
79877,79977,,
99396,79977,,
89277,79977,,
89869,79977,,
71726,79977,,
79487,79977,,
81726,79977,,
71926,79977,,
79486,79977,,
71839,79977,,
79739,79977,,
78887,79977,,
78883,79977,,
79823,79977,,
79879,79977,,
79257,79977,,
87799,79977,,
79266,79977,,
91223,79977,,
81226,79977,,
71826,79977,,
79973,79977,,
88976,79977,,
89963,79977,,
71823,79977,,
99496,79977,,
88586,79977,,
76759,76647,,
76646,76647,,
76753,76647,,
76779,76647,,
56239,56227,,
47947,56227,,
46337,56227,,
46637,56227,,
56427,56227,,
55887,56227,,
56126,56227,,
46636,56227,,
55963,56227,,
55969,56227,,
56477,56227,,
57523,56227,,
45766,56227,,
56847,56227,,
45987,56227,,
56846,56227,,
45959,56227,,
45983,56227,,
45426,56227,,
46336,56227,,
56489,56227,,
56127,56227,,
56426,56227,,
41657,41556,,
41553,41556,,
41559,41556,,
25316,25317,,
24393,25317,,
77557,78539,,
77556,78539,,
45513,45517,,
45519,45517,,
45506,45517,,
35979,35973,,
35889,35973,,
35976,35973,,
35977,35973,,
45276,35973,,
36823,35973,,
63979,63973,,
26686,26687,,
26687,26686,,
63973,63979,,
35973,35979,,
35889,35979,,
35976,35979,,
35977,35979,,
36823,35979,,
81726,91666,,
91667,91666,,
99157,91666,,
99496,91666,,
95213,95226,,
95219,95226,,
94269,95226,,
85927,95226,,
78539,77557,,
77556,77557,,
47356,47647,,
84636,84439,,
84637,84439,,
84569,84439,,
84623,84439,,
71646,71639,,
71647,71639,,
91816,99899,,
99893,99899,,
91817,99899,,
21806,88483,,
21807,88483,,
84439,84636,,
84637,84636,,
84623,84636,,
78539,77556,,
77557,77556,,
99689,91766,,
91827,91766,,
95789,95783,,
96823,95783,,
15173,95783,,
95876,95783,,
97679,97777,,
97673,97777,,
95783,95789,,
96823,95789,,
15173,95789,,
95876,95789,,
47549,47746,,
47543,47746,,
19457,19257,,
49657,19257,,
99656,99457,,
99657,99457,,
99243,99457,,
99249,99457,,
99256,99457,,
59556,59457,,
58596,59457,,
58597,59457,,
88973,79877,,
79977,79877,,
99396,79877,,
89277,79877,,
79126,79877,,
89869,79877,,
78899,79877,,
71726,79877,,
79487,79877,,
71237,79877,,
71926,79877,,
79486,79877,,
71236,79877,,
79477,79877,,
81526,79877,,
71997,79877,,
71839,79877,,
79739,79877,,
89377,79877,,
78889,79877,,
78466,79877,,
78887,79877,,
78883,79877,,
79823,79877,,
79879,79877,,
79257,79877,,
87799,79877,,
79266,79877,,
91223,79877,,
81226,79877,,
71826,79877,,
79973,79877,,
88976,79877,,
89963,79877,,
71823,79877,,
99496,79877,,
78897,79877,,
88576,79877,,
88586,79877,,
71833,79877,,
11726,11727,,
11656,11727,,
11967,11727,,
11866,11727,,
11736,11727,,
11737,11727,,
11717,11727,,
52369,52363,,
52366,52363,,
52367,52363,,
52363,52369,,
52366,52369,,
52367,52369,,
11727,11726,,
11656,11726,,
11967,11726,,
11569,11726,,
29196,11726,,
11866,11726,,
11736,11726,,
11737,11726,,
11717,11726,,
88973,99396,,
11726,99396,,
89869,99396,,
99357,99396,,
81726,99396,,
71926,99396,,
99586,99396,,
78883,99396,,
87799,99396,,
91223,99396,,
81226,99396,,
88976,99396,,
89963,99396,,
99157,99396,,
99496,99396,,
88586,99396,,
59457,59556,,
58596,59556,,
58597,59556,,
93856,93757,,
42116,41197,,
84439,84637,,
84636,84637,,
84623,84637,,
98163,98169,,
21706,98169,,
21707,98169,,
24453,24579,,
24676,24579,,
24677,24579,,
24579,24453,,
98169,98163,,
21706,98163,,
21707,98163,,
41197,42116,,
77696,78247,,
47156,47157,,
47169,47157,,
37756,47157,,
47163,47157,,
88166,88167,,
33743,32767,,
32763,32767,,
32769,32767,,
47226,36997,,
98723,98729,,
98527,98729,,
35973,35889,,
35979,35889,,
35976,35889,,
35977,35889,,
45276,35889,,
36829,35889,,
35576,35889,,
36823,35889,,
88167,88166,,
47157,47156,,
47169,47156,,
47163,47156,,
78247,77696,,
77787,77696,,
78643,77696,,
78449,77696,,
36277,36296,,
36397,36296,,
37116,36296,,
39169,39163,,
39167,39163,,
39166,39163,,
38629,38623,,
21206,38623,,
21207,38623,,
23627,23626,,
23543,23626,,
23427,23626,,
23549,23626,,
75723,74587,,
74589,74587,,
74896,74587,,
28983,28989,,
28996,28989,,
28997,28989,,
79977,89277,,
79877,89277,,
89869,89277,,
71926,89277,,
71839,89277,,
89377,89277,,
91139,89277,,
78883,89277,,
79823,89277,,
81226,89277,,
89913,89277,,
79973,89277,,
89963,89277,,
99157,89277,,
88586,89277,,
38623,38629,,
21206,38629,,
21207,38629,,
39163,39169,,
39167,39169,,
39166,39169,,
58473,58479,,
58263,58279,,
58367,58279,,
58376,58279,,
29427,29423,,
29226,29423,,
29626,29423,,
29423,29427,,
29626,29427,,
58479,58473,,
79547,79146,,
59796,59786,,
59797,59786,,
59783,59786,,
59886,59786,,
59789,59786,,
59883,59786,,
59889,59786,,
